WKT,Title,Type,Description,Location,Accessibility,Opening Hours
"POINT (-6.263287000000001 53.343151)",Fallon & Byrne Food Hall,Private,Retail food hall and grocery store,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm
"POINT (-6.2496782 53.3515264)",Connolly Station,Public,Main railway station,Dublin,Wheelchair accessible,24/7
"POINT (-6.264737899999999 53.3499889)",Ilac Shopping Centre,Public,Retail shopping mall,Dublin,Wheelchair accessible,Mon-Sat: 9am-9pm Sun: 10am-7pm
"POINT (-6.293491699999999 53.3461854)",Heuston,Public,Train station,Dublin,Wheelchair accessible,24/7
"POINT (-6.251856500000001 53.3496261)",Busáras Central Station,Public,Bus station,Dublin,Wheelchair accessible,24/7
"POINT (-6.264867999999999 53.34464599999999)",Irish Film Institute,Public,Cinema and film archive,Dublin,Wheelchair accessible,Varies by showtimes
"POINT (-6.2594935 53.3422196)",Marks and Spencer,Private,Department store,Dublin,Wheelchair accessible,Mon-Sat: 9am-8pm Sun: 10am-7pm
"POINT (-6.264739799999999 53.3488949)",Marks and Spencer,Private,Department store,Dublin,Wheelchair accessible,Mon-Sat: 9am-8pm Sun: 10am-7pm
"POINT (-6.261817299999999 53.34223649999999)",Powerscourt Townhouse Centre,Private,Retail shopping center,Dublin,Wheelchair accessible,Mon-Sun: 10am-6pm
"POINT (-6.2656231 53.3482143)",Jervis Shopping Centre,Public,Retail shopping mall,Dublin,Wheelchair accessible,Mon-Sat: 9am-8pm Sun: 10am-7pm
"POINT (-6.262272900000001 53.34000399999999)",Stephen's Green Shopping Centre,Public,Retail shopping mall,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm
"POINT (-6.2859296 53.34885789999999)",Military Museum,Public,Military history museum,Dublin,Wheelchair accessible,Tue-Sat: 10am-5pm Sun: 2pm-5pm
"POINT (-6.264654999999999 53.3541752)",The Hugh Lane,Public,Art museum,Dublin,Wheelchair accessible,Tue-Thu: 9:45am-6pm Fri: 9:45am-5pm Sat: 10am-5pm Sun: 11am-5pm
"POINT (-6.267428399999999 53.34288609999999)",Dublin Castle,Public,Historic site - castle and government complex,Dublin,Wheelchair accessible,Mon-Sun: 9:45am-5:45pm
"POINT (-6.2544821 53.34109840000001)",National Library of Ireland,Public,National library,Dublin,Wheelchair accessible,Mon-Wed Fri-Sat: 9:30am-7:45pm Thu: 9:30am-8:30pm Sun: 1pm-4:45pm
"POINT (-6.259930999999999 53.3424295)",Brown Thomas Dublin,Private,Luxury department store,Dublin,Wheelchair accessible,Mon-Wed Fri-Sat: 9:30am-7pm Thu: 9:30am-9pm Sun: 11am-7pm
"POINT (-6.2525147 53.3409266)",National Gallery of Ireland,Public,Art museum,Dublin,Wheelchair accessible,Mon-Sat: 9:30am-5:30pm Thu: 9:30am-8:30pm Sun: 12pm-5:30pm
"POINT (-6.2631308 53.3491377)",Arnotts,Private,Department store,Dublin,Wheelchair accessible,Mon-Wed Fri-Sat: 9am-7pm Thu: 9am-9pm Sun: 11am-7pm
"POINT (-6.269881499999999 53.3716172)",BOTANIC GARDENS PUBLIC TOILET,Public,Public toilet,Glasnevin, Not Wheelchair accessible,Mon-Sun: 8am-8pm



"POINT (-6.247821999999999 53.3489288)",Toilet,
"POINT (-6.2608368 53.3399192)",Stephen's Green Public Bathroom,
"POINT (-6.2670203 53.3481323)",Public Toilets,
"POINT (-6.2910824 53.3195543)",Public Bathroom in Supervalu Sundrive Complex,
"POINT (-6.206917 53.3253384)",Public Toilet,
"POINT (-6.300048 53.34291700000001)",Irish Museum of Modern Art,
"POINT (-6.1703068 53.3551023)",Public Toilet,
"POINT (-6.175860600000001 53.36947199999999)",Public Toilets,
"POINT (-6.063485199999999 53.38851409999999)",Public Toilet,
"POINT (-6.2667983 53.3440455)",Barnardo Square,
"POINT (-6.271165 53.3402425)",St. Patrick’s Park,
"POINT (-6.2533478 53.33988480000001)",National Museum of Ireland - Natural History,
"POINT (-6.3046333 53.35211109999999)",Phoenix Park Tea Rooms,
"POINT (-6.331011600000001 53.3659382)",Phoenix Café,
"POINT (-6.2996048 53.3604932)",Tesco Superstore,
"POINT (-6.2140198 53.31904529999999)",Tesco Superstore,
"POINT (-6.213863000000001 53.31855669999999)",Merrion Shopping Centre,
"POINT (-6.2464185 53.39221999999999)",Omni Shopping Centre,
"POINT (-6.267480000000001 53.28951139999999)",Tesco Superstore,
"POINT (-6.2442945 53.2887254)",Dundrum Shopping Centre,
"POINT (-6.737235500000001 52.80054200000001)",Tesco Superstore,
"POINT (-6.8061325 53.17300729999999)",Tesco Superstore,
"POINT (-6.9172997 53.1570129)",Tesco Superstore,
"POINT (-7.296900099999999 53.03147629999999)",Tesco Extra,
"POINT (-6.3900563 53.3937292)",Blanchardstown Centre Toilets,
"POINT (-7.244461999999999 52.6552401)",MacDonagh Junction Shopping Centre,
"POINT (-7.253693900000001 52.6528721)",Market Cross Shopping Centre,
"POINT (-7.241927399999998 52.6413295)",Loughboy Shopping Centre,
"POINT (-7.109728700000001 52.2601293)",City Square Shopping Centre,
"POINT (-8.4749346 51.89762229999999)",The English Market,
"POINT (-8.4700869 51.899881)",Merchants Quay Shopping Centre,
"POINT (-8.4760715 51.899475)",Public toilet,
"POINT (-8.466862999999998 51.8995869)",Cork Bus Station(Stáisiún Bus Chorcaí),
"POINT (-8.396493999999999 51.8854221)",Public Toilets Mahon Point,
"POINT (-8.3954574 51.8865367)",Restrooms W/C Tiolets,
"POINT (-8.4307427 51.8786792)",Douglas Court Shopping Centre - Toilets,
"POINT (-7.873958199999999 51.9229555)",Public Toilets,
"POINT (-9.5830218 51.8811882)",Public toilets,
"POINT (-9.9009039 51.8388467)",Public Toilet,
"POINT (-8.6750629 52.6765681)",Public Toilet,
"POINT (-8.6291721 52.6631592)",Public toilet,
"POINT (-8.4478183 52.80913080000001)",Public toilets,
"POINT (-8.5188722 52.5213143)",Public toilet,
"POINT (-9.0169715 53.2700772)",Public toilets.,
"POINT (-9.050406900000004 53.2727439)",Public toilet,
"POINT (-9.092875000000001 53.2571518)",Public Toilets,
"POINT (-9.056569600000003 53.2752723)",public toilets,
"POINT (-9.0461361 53.28372969999999)",public toilet,
"POINT (-8.8197269 53.06693139999999)",Public toilets,
"POINT (-8.962626000000002 53.24979399999999)",Public toilets.,
"POINT (-7.7015907 52.3519807)",Public toilets,
"POINT (-7.4253497 52.2060064)",Public Toilet,
"POINT (-7.5375296 52.0993842)",Public Toilets,
"POINT (-7.566000300000001 52.05049440000001)",Public Toilets,
"POINT (-6.994895 52.1548892)",Dunmore East public toilets,
"POINT (-8.277386800000002 54.48183439999999)",Beach Public Toilets,
"POINT (-8.2804186 54.4781384)",Public Toilet,
"POINT (-8.268016599999997 54.49035279999999)",Public Toilet Tullan,
"POINT (-8.0378385 54.0494127)",Public WC,
"POINT (-7.9195976 53.83209180000001)",Rooskey Public Toilets,
"POINT (-6.397797 54.0002637)",Marshes Shopping Centre .,
"POINT (-6.1848072 54.040204)",Public toilet,
"POINT (-6.719404 53.9775995)",Public Toilets,
"POINT (-6.1866145 54.0427966)",Public Toilet,
"POINT (-6.236846700000001 53.98564349999999)",Toilet,
"POINT (-8.0624849 53.5918764)",Portrunny Public Toilets,
"POINT (-8.051701 53.5461207)",Lecarrow Public Toilets,
"POINT (-8.188204499999998 53.6315627)",Tesco Superstore,
"POINT (-8.476657899999998 54.27131360000001)",Tesco Superstore,
"POINT (-7.339999999999998 53.52805559999999)",Harbour Place Shopping Centre,
"POINT (-8.6446637 52.6397812)",Crescent Shopping Centre Toilets,
"POINT (-6.3985087 54.0045669)",Roden Place Dundalk,
"POINT (-6.113229 53.2573568)",Toilets,
"POINT (-6.180093800000001 53.2511137)",Carrickmines Park,
"POINT (-6.3895013 53.3539371)",Liffey Valley Shopping Centre Toilets,
"POINT (-6.201424199999999 53.2898395)",1st Floor Toilets,
"POINT (-6.1151207 53.287218)",Sandycove Public Toilets,
"POINT (-7.455605100000001 55.1378201)",Kavanagh's SuperValu Buncrana,
"POINT (-6.310510300000001 53.7014933)",Southgate Shopping Centre,
"POINT (-7.5319188 55.0951929)",Rathmullan Beach Public Toilets,
"POINT (-8.1079745 54.6533826)",Public Bathroom,
"POINT (-6.7910844 53.5548754)",Trim Visitor Centre Toilets,Trim Castle Co.Meath Attached to the Tourist Office at the Bus Éireann stop facing the Courthouse.,
"POINT (-6.136610200000001 53.44866990000001)",Public Toilets,
"POINT (-6.1514776 53.4510445)",Malahide Public Toilets,St James' Terrace Malahide. Corner opposite the Garda Station bounding the tennis club
"POINT (-6.3452794 53.7140762)",Scotch Hall Shopping Centre Toilets,Free to access, clean all the time, 
"POINT (-6.181314100000001 53.61100580000001)",Public Toilets,
"POINT (-6.104936400000001 53.5828694)",Public Toilet,
"POINT (-6.105150299999999 53.57909439999999)",South Beach Public Toilets,
"POINT (-6.0823961 53.5225617)",Public Toilet - Seasonal,
"POINT (-6.168888099999999 53.486728)",Public bathroom,
"POINT (-6.1236398 53.4340644)",Public Toilet,
"POINT (-7.480764099999999 52.8664675)",Circle K Manor Stone,
"POINT (-6.589653800000001 52.1726063)",Public Toilets,
"POINT (-6.7203347 52.21661880000001)",Public Toilets,
"POINT (-6.732372499999999 52.2403797)",Public Toilet,
"POINT (-6.931268999999999 52.2198716)",Duncannon Beach,
"POINT (-7.137999100000001 52.15956380000001)",Public Toilets,
"POINT (-7.1483173 52.1601495)",Public Toilets,
"POINT (-9.1116903 51.72164160000001)",Dunmanway Public Toilets,
"POINT (-6.5692736 52.5030117)",Dunnes Stores,
"POINT (-6.969737899999999 54.2475713)",Public Toilet,
"POINT (-7.36243 53.990915)",Cavan Town Hall Public Toilet,Beside Cavan Town Hall in the car park
"POINT (-8.4715825 51.91436)",Blackpool Shopping Centre Toilets,Free to access
"POINT (-6.125466699999999 53.4432438)",Robswalls Playground,Toilets managed by Fingal County Council within the playground at Robswall Park (also known as "Paddy's Hill").
"POINT (-9.5448847 51.5253355)",Schull Harbour Public Toilets,Free to access. Maybe closed at night
"POINT (-6.3236782 53.3662466)",Hole in the Wall,Owners/waiting staff do not take issue with walkers/runners using their restroom.
"POINT (-8.5532355 52.6666959)",Castletroy Shopping Centre Toilets,Beside Starbucks, free to access
"POINT (-7.259705499999998 55.252411)",Canny & Doherty's SuperValu Carndonagh,Free opening hours same as supervalu. Wheelchair accessible.
"POINT (-8.987756899999997 53.2904747)",Dunnes Stores - Briarhill,Free & accessible to public. Go up stairs or escalator and on first floor of shopping centre, to the left of the Dunnes Store entrance.
"POINT (-9.1532514 54.1172212)",Lidl,Free access toilet in Lidl
"POINT (-9.705576700000002 52.2674482)",Public Toilets,
"POINT (-6.348619999999999 53.716023)",Laurence Shopping Centre,
"POINT (-6.4602429 52.3380236)",Public Toilet,
"POINT (-6.4654643 52.3431505)",Redmond Road Public Toilet,50c to use
"POINT (-8.473284 51.89986200000001)",Crawford Art Gallery,
"POINT (-8.4747401 51.8997381)",Tesco Superstore,20 cent coin operated door, there's a change machine at bottom of stairs
"POINT (-7.359033 53.990363)",Cavan Town Public Toilets,
"POINT (-7.925823699999998 52.37444169999999)",Cahir Public Toilets,
"POINT (-8.2959246 51.8025312)",Crosshaven Public Toilets,Have to pay a few cents but usually working fine
"POINT (-6.0609931 53.1449601)",Public Toilet,
"POINT (-6.2644572 53.3227003)",Swan Shopping Centre,Was 20c before covid, free at the moment
"POINT (-9.521263717495378 53.79880255472055)",Public Toilet Mill St Car Park,20c to use
"POINT (-9.303348 53.85569160000001)",Tesco Superstore,
"POINT (-9.287709 53.54060249999999)",Public WC,
"POINT (-6.9238764 52.83377460000001)",Fairgreen Shopping Centre,
"POINT (-6.162853 53.445163)",Malahide Castle Public Toilets,
"POINT (-6.891484399999999 53.9978759)",Circle K,
"POINT (-9.168028 51.937987)",Public Toilet,Its a public toilet for the graveyard but can be used by anyone, its a porta potty but its free and usable. its built into the hedge.
"POINT (-6.363149 53.723748)",Circle K,Inside the garage shop. Free access.
"POINT (-6.373295000000001 53.70192300000001)",Tesco Extra,On the right hand side from the entrance. Free access
"POINT (-8.1998442 52.8653672)",Public Toilet Nenagh,Toilet is a big black cube. Wheelchair accessible, automated. Cost 20c to use.
"POINT (-6.452871600000001 53.34801030000001)",SuperValu Lucan,
"POINT (-6.396244 53.3241005)",The Mill Centre,
"POINT (-6.486955699999998 52.32296749999999)",Min Ryan Park,
"POINT (-6.2289309 53.4440497)",Texaco,External access from left side main garage building (side with the car washes)
"POINT (-6.0903361 53.0442117)",Coynes Cross Service Station,
"POINT (-6.0633352787827315 52.87788484538195)",Brittas Bay South Car Park Toilets,
"POINT (-6.158576972281125 52.79723123856041)",St Mary's & Peter's Church Toilets,Toilets located in separate building to rear of church
"POINT (-6.202793432185457 52.750440060076365)",Gorey Services,
"POINT (-6.144135358081124 52.79951487111124)",Arklow Leisure Centre Toilets,
"POINT (-6.146652229032367 52.79949730531537)",Bridgewater Shopping Center Toilets,
"POINT (-6.160827867999773 52.795040301253074)",Arklow Tesco Toilets,
"POINT (-6.156455600000001 52.79871869999999)",Public Toilet,
"POINT (-6.153552700000001 52.79682940000001)",Castlepark public toilet,
