WKT,id,title,type,description,location,accessibility,opening_hours,toilet_image
POINT (-6.263287000000001 53.343151),1,Fallon & Byrne Food Hall,Public Toilet,Retail food hall and grocery store,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-6.2496782 53.3515264),2,Connolly Station,Public Toilet,Main railway station,Dublin,Wheelchair accessible,24-Jul,toilet_image.png
POINT (-6.264737899999999 53.3499889),3,Ilac Shopping Centre,Public Toilet,Retail shopping mall,Dublin,Wheelchair accessible,Mon-Sat: 9am-9pm Sun: 10am-7pm,toilet_image.png
POINT (-6.293491699999999 53.3461854),4,Heuston,Public Toilet,Train station,Dublin,Wheelchair accessible,24-Jul,toilet_image.png
POINT (-6.251856500000001 53.3496261),5,Busáras Central Station,Public Toilet,Bus station,Dublin,Wheelchair accessible,24-Jul,toilet_image.png
POINT (-6.264867999999999 53.34464599999999),6,Irish Film Institute,Public Toilet,Cinema and film archive,Dublin,Wheelchair accessible,Varies by showtimes,toilet_image.png
POINT (-6.2594935 53.3422196),7,Marks and Spencer,Public Toilet,Department store,Dublin,Wheelchair accessible,Mon-Sat: 9am-8pm Sun: 10am-7pm,toilet_image.png
POINT (-6.264739799999999 53.3488949),8,Marks and Spencer,Public Toilet,Department store,Dublin,Wheelchair accessible,Mon-Sat: 9am-8pm Sun: 10am-7pm,toilet_image.png
POINT (-6.261817299999999 53.34223649999999),9,Powerscourt Townhouse Centre,Public Toilet,Retail shopping center,Dublin,Wheelchair accessible,Mon-Sun: 10am-6pm,toilet_image.png
POINT (-6.2656231 53.3482143),10,Jervis Shopping Centre,Public Toilet,Retail shopping mall,Dublin,Wheelchair accessible,Mon-Sat: 9am-8pm Sun: 10am-7pm,toilet_image.png
POINT (-6.262272900000001 53.34000399999999),11,Stephen's Green Shopping Centre,Public Toilet,Retail shopping mall,Dublin,Wheelchair accessible,Mon-Sun: 9am-8pm,toilet_image.png
POINT (-6.2859296 53.34885789999999),12,Military Museum,Public Toilet,Military history museum,Dublin,Wheelchair accessible,Tue-Sat: 10am-5pm Sun: 2pm-5pm,toilet_image.png
POINT (-6.264654999999999 53.3541752),13,The Hugh Lane,Public Toilet,Art museum,Dublin,Wheelchair accessible,Tue-Thu: 9:45am-6pm Fri: 9:45am-5pm Sat: 10am-5pm Sun: 11am-5pm,toilet_image.png
POINT (-6.267428399999999 53.34288609999999),14,Dublin Castle,Public Toilet,Historic site - castle and government complex,Dublin,Wheelchair accessible,Mon-Sun: 9:45am-5:45pm,toilet_image.png
